Country	Year	Month	Temperature (C)
USA	1926	March	0.56897885
USA	1926	April	6.1991663
USA	1926	May	12.258503
USA	1926	June	17.033646
USA	1926	July	19.567554
USA	1926	August	18.911472
USA	1926	September	14.531143
USA	1926	October	8.871603
USA	1926	November	1.3166395
USA	1926	December	-5.173881
USA	1927	January	-4.539544
USA	1927	February	-2.167677
USA	1927	March	-0.42599672
USA	1927	April	4.801546
USA	1927	May	11.45535
USA	1927	June	16.39095
USA	1927	July	19.376507
USA	1927	August	17.497803
USA	1927	September	14.022702
USA	1927	October	8.128763
USA	1927	November	0.3775427
USA	1927	December	-6.121562
USA	1928	January	-3.9749591
USA	1928	February	-2.5152767
USA	1928	March	-0.37711555
USA	1928	April	4.6245117
USA	1928	May	12.319548
USA	1928	June	15.820666
USA	1928	July	19.33094
USA	1928	August	18.253885
USA	1928	September	13.471807
USA	1928	October	8.241598
USA	1928	November	1.3434703
USA	1928	December	-3.3409276
USA	1929	January	-5.7401137
USA	1929	February	-5.4771357
USA	1929	March	-0.1665175
USA	1929	April	5.6187754
USA	1929	May	11.227665
USA	1929	June	16.480818
USA	1929	July	19.33627
USA	1929	August	18.584621
USA	1929	September	14.530574
USA	1929	October	8.033096
USA	1929	November	0.3442636
USA	1929	December	-3.915582
USA	1930	January	-7.0054107
USA	1930	February	-3.2148697
USA	1930	March	-1.1031123
USA	1930	April	6.7728844
USA	1930	May	11.412551
USA	1930	June	16.762672
USA	1930	July	20.00712
USA	1930	August	19.012632
USA	1930	September	14.628723
USA	1930	October	7.0831575
USA	1930	November	-0.24705045
USA	1930	December	-3.8355777
